Year,Statistic,Name(s),Team(s),#,Date of Birth
1994,ERA,Steve Ontiveros,Oakland,2.65,03-05-1961  (Pisces)
1994,Games,Bob Wickman,New York,53,02-06-1969  (Aquarius)
1994,Saves,Lee Smith,Baltimore,33,12-04-1957  (Sagittarius)
1994,Shutouts,Randy Johnson,Seattle,4,09-10-1963  (Virgo)
1994,Strikeouts,Randy Johnson,Seattle,204,09-10-1963  (Virgo)
1994,Winning Percentage,Jason Bere,Chicago,.857,05-26-1971  (Gemini)
1994,Wins,Jimmy Key,New York,17,04-22-1961  (Taurus)
1995,Complete Games,Jack McDowell,New York,8,01-16-1966  (Capricorn)
1995,ERA,Randy Johnson,Seattle,2.48,09-10-1963  (Virgo)
1995,Games,Jesse Orosco,Baltimore,65,04-21-1957  (Taurus)
1995,Saves,Jose Mesa,Cleveland,46,05-22-1966  (Gemini)
1995,Shutouts,Mike Mussina,Baltimore,4,12-08-1968  (Sagittarius)
1995,Strikeouts,Randy Johnson,Seattle,294,09-10-1963  (Virgo)
1995,Winning Percentage,Randy Johnson,Seattle,.900,09-10-1963  (Virgo)
1995,Wins,Mike Mussina,Baltimore,19,12-08-1968  (Sagittarius)
1996,Complete Games,Pat Hentgen,Toronto,10,11-13-1968  (Scorpio)
1996,ERA,Juan Guzman,Toronto,2.93,10-28-1966  (Scorpio)
1996,Games,Eddie Guardado,Minnesota,83,10-02-1970  (Libra)
1996,Saves,John Wetteland,New York,43,08-21-1966  (Leo)
1996,Shutouts,Pat Hentgen,Toronto,3,11-13-1968  (Scorpio)
1996,Strikeouts,Roger Clemens,Boston,257,08-04-1962  (Leo)
1996,Winning Percentage,Charles Nagy,Cleveland,.773,05-05-1967  (Taurus)
1996,Wins,Andy Pettitte,New York,21,06-15-1972  (Gemini)
1997,Complete Games,Roger Clemens,Toronto,9,08-04-1962  (Leo)
1997,ERA,Roger Clemens,Toronto,2.05,08-04-1962  (Leo)
1997,Games,Mike Myers,Detroit,88,06-26-1969  (Cancer)
1997,Saves,Randy Myers,Baltimore,45,09-19-1962  (Virgo)
1997,Shutouts,Roger Clemens,Toronto,3,08-04-1962  (Leo)
1997,Strikeouts,Roger Clemens,Toronto,292,08-04-1962  (Leo)
1997,Winning Percentage,Randy Johnson,Seattle,.833,09-10-1963  (Virgo)
1997,Wins,Roger Clemens,Toronto,21,08-04-1962  (Leo)
1998,Complete Games,Scott Erickson,Baltimore,11,02-02-1968  (Aquarius)
1998,ERA,Roger Clemens,Toronto,2.65,08-04-1962  (Leo)
1998,Games,Sean Runyan,Detroit,88,06-21-1974  (Gemini)
1998,Saves,Tom Gordon,Boston,46,11-18-1967  (Scorpio)
1998,Shutouts,David Wells,New York,5,05-20-1963  (Taurus)
1998,Strikeouts,Roger Clemens,Toronto,271,08-04-1962  (Leo)
1998,Winning Percentage,David Wells,New York,.818,05-20-1963  (Taurus)
1998,Wins,Roger Clemens,Toronto,20,08-04-1962  (Leo)
1999,Complete Games,David Wells,Toronto,7,05-20-1963  (Taurus)
1999,ERA,Pedro Martinez,Boston,2.07,10-25-1971  (Scorpio)
1999,Games,Buddy Groom,Oakland,76,07-10-1965  (Cancer)
1999,Saves,Mariano Rivera,New York,45,11-29-1969  (Sagittarius)
1999,Shutouts,Scott Erickson,Baltimore,3,02-02-1968  (Aquarius)
1999,Strikeouts,Pedro Martinez,Boston,313,10-25-1971  (Scorpio)
1999,Winning Percentage,Pedro Martinez,Boston,.852,10-25-1971  (Scorpio)
1999,Wins,Pedro Martinez,Boston,23,10-25-1971  (Scorpio)
2000,Complete Games,David Wells,Toronto,9,05-20-1963  (Taurus)
2000,ERA,Pedro Martinez,Boston,1.74,10-25-1971  (Scorpio)
2000,Games,Kelly Wunsch,Chicago,83,07-12-1972  (Cancer)
2000,Saves,Todd Jones,Detroit,42,04-24-1968  (Taurus)
2000,Shutouts,Pedro Martinez,Boston,4,10-25-1971  (Scorpio)
2000,Strikeouts,Pedro Martinez,Boston,284,10-25-1971  (Scorpio)
2000,Winning Percentage,Tim Hudson,Oakland,.769,07-14-1975  (Cancer)
2000,Wins,Tim Hudson,Oakland,20,07-14-1975  (Cancer)
2001,Complete Games,Steve Sparks,Detroit,8,07-02-1965  (Cancer)
2001,ERA,Freddy Garcia,Seattle,3.05,10-06-1976  (Libra)
2001,Games,Paul Quantrill,Toronto,80,11-03-1968  (Scorpio)
2001,Saves,Mariano Rivera,New York,50,11-29-1969  (Sagittarius)
2001,Shutouts,Mark Mulder,Oakland,4,08-05-1977  (Leo)
2001,Strikeouts,Hideo Nomo,Boston,220,08-31-1968  (Virgo)
2001,Winning Percentage,Roger Clemens,New York,.870,08-04-1962  (Leo)
2001,Wins,Mark Mulder,Oakland,21,08-05-1977  (Leo)
2002,Complete Games,Paul Byrd,Kansas City,7,12-03-1970  (Sagittarius)
2002,ERA,Pedro Martinez,Boston,2.26,10-25-1971  (Scorpio)
2002,Games,Billy Koch,Oakland,84,12-14-1974  (Sagittarius)
2002,Saves,Eddie Guardado,Minnesota,45,10-02-1970  (Libra)
2002,Shutouts,Jeff Weaver,New York,3,08-22-1976  (Leo)
2002,Strikeouts,Pedro Martinez,Boston,239,10-25-1971  (Scorpio)
2002,Winning Percentage,Pedro Martinez,Boston,.833,10-25-1971  (Scorpio)
2002,Wins,Barry Zito,Oakland,23,05-13-1978  (Taurus)
2003,Complete Games,Bartolo Colon,Chicago,9,05-24-1973  (Gemini)
2003,ERA,Pedro Martinez,Boston,2.22,10-25-1971  (Scorpio)
2003,Games,Trever Miller,Toronto,79,05-29-1973  (Gemini)
2003,Saves,Keith Foulke,Oakland,43,10-19-1972  (Libra)
2003,Shutouts,Roy Halladay,Toronto,2,05-14-1977  (Taurus)
2003,Strikeouts,Esteban Loaiza,Chicago,207,12-31-1971  (Capricorn)
2003,Winning Percentage,Roy Halladay,Toronto,.759,05-14-1977  (Taurus)
2003,Wins,Roy Halladay,Toronto,22,05-14-1977  (Taurus)
2004,Complete Games,Mark Mulder,Oakland,5,08-05-1977  (Leo)
2004,ERA,Johan Santana,Minnesota,2.61,03-13-1979  (Pisces)
2004,Games,Paul Quantrill,New York,86,11-03-1968  (Scorpio)
2004,Saves,Mariano Rivera,New York,53,11-29-1969  (Sagittarius)
2004,Shutouts,Jeremy Bonderman,Detroit,2,10-28-1982  (Scorpio)
2004,Strikeouts,Johan Santana,Minnesota,265,03-13-1979  (Pisces)
2004,Winning Percentage,Curt Schilling,Boston,.778,11-14-1966  (Scorpio)
2004,Wins,Curt Schilling,Boston,21,11-14-1966  (Scorpio)
2005,Complete Games,Roy Halladay,Toronto,5,05-14-1977  (Taurus)
2005,ERA,Kevin Millwood,Cleveland,2.86,12-24-1974  (Capricorn)
2005,Games,Mike Timlin,Boston,81,03-10-1966  (Pisces)
2005,Saves,Francisco Rodriguez,Los Angeles,45,01-07-1982  (Capricorn)
2005,Saves,Bob Wickman,Cleveland,45,02-06-1969  (Aquarius)
2005,Shutouts,Jon Garland,Chicago,3,09-27-1979  (Libra)
2005,Strikeouts,Johan Santana,Minnesota,238,03-13-1979  (Pisces)
2005,Winning Percentage,Cliff Lee,Cleveland,.783,08-30-1978  (Virgo)
2005,Wins,Bartolo Colon,Los Angeles,21,05-24-1973  (Gemini)
2006,Complete Games,C.C. Sabathia,Cleveland,6,07-21-1980  (Cancer)
2006,ERA,Johan Santana,Minnesota,2.77,03-13-1979  (Pisces)
2006,Games,Scott Proctor,New York,83,01-02-1977  (Capricorn)
2006,Saves,Francisco Rodriguez,Los Angeles,47,01-07-1982  (Capricorn)
2006,Shutouts,John Lackey,Los Angeles,2,10-23-1978  (Libra)
2006,Strikeouts,Johan Santana,Minnesota,245,03-13-1979  (Pisces)
2006,Winning Percentage,Roy Halladay,Toronto,.762,05-14-1977  (Taurus)
2006,Wins,Johan Santana,Minnesota,19,03-13-1979  (Pisces)
2007,Complete Games,Roy Halladay,Toronto,7,05-14-1977  (Taurus)
2007,ERA,John Lackey,Los Angeles,3.01,10-23-1978  (Libra)
2007,Games,Jamie Walker,Baltimore,81,07-01-1971  (Cancer)
2007,Saves,Joe Borowski,Cleveland,45,05-04-1971  (Taurus)
2007,Shutouts,Paul Byrd,Cleveland,2,12-03-1970  (Sagittarius)
2007,Strikeouts,Scott Kazmir,Tampa Bay,239,01-24-1984  (Aquarius)
2007,Winning Percentage,Justin Verlander,Detroit,.762,02-20-1983  (Pisces)
2007,Wins,Josh Beckett,Boston,20,05-15-1980  (Taurus)
2008,Complete Games,Roy Halladay,Toronto,9,05-14-1977  (Taurus)
2008,ERA,Cliff Lee,Cleveland,2.54,08-30-1978  (Virgo)
2008,Games,Matt Guerrier,Minnesota,76,08-02-1978  (Leo)
2008,Saves,Francisco Rodriguez,Los Angeles,62,01-07-1982  (Capricorn)
2008,Shutouts,Matt Garza,Tampa Bay,2,11-26-1983  (Sagittarius)
2008,Strikeouts,A.J. Burnett,Toronto,231,01-03-1977  (Capricorn)
2008,Winning Percentage,Cliff Lee,Cleveland,.880,08-30-1978  (Virgo)
2008,Wins,Cliff Lee,Cleveland,22,08-30-1978  (Virgo)
2009,Complete Games,Roy Halladay,Toronto,9,05-14-1977  (Taurus)
2009,ERA,Zack Greinke,Kansas City,2.16,10-21-1983  (Libra)
2009,Games,Matt Guerrier,Minnesota,79,08-02-1978  (Leo)
2009,Saves,Brian Fuentes,Los Angeles,48,08-09-1975  (Leo)
2009,Shutouts,Roy Halladay,Toronto,4,05-14-1977  (Taurus)
2009,Strikeouts,Justin Verlander,Detroit,269,02-20-1983  (Pisces)
2009,Winning Percentage,Felix Hernandez,Seattle,.792,04-08-1986  (Aries)
2009,Wins,Felix Hernandez,Seattle,19,04-08-1986  (Aries)
2010,Complete Games,Cliff Lee,Seattle / Texas,7,08-30-1978  (Virgo)
2010,ERA,Felix Hernandez,Seattle,2.27,04-08-1986  (Aries)
2010,Games,Randy Choate,Tampa Bay,85,09-05-1975  (Virgo)
2010,Saves,Rafael Soriano,Tampa Bay,45,12-19-1979  (Sagittarius)
2010,Shutouts,Dallas Braden,Oakland,2,08-13-1983  (Leo)
2010,Strikeouts,Jered Weaver,Los Angeles,233,10-04-1982  (Libra)
2010,Winning Percentage,Tommy Hunter,Texas,.765,07-03-1986  (Cancer)
2010,Wins,C.C. Sabathia,New York,21,07-21-1980  (Cancer)
2011,Complete Games,James Shields,Tampa Bay,11,12-20-1981  (Sagittarius)
2011,ERA,Justin Verlander,Detroit,2.40,02-20-1983  (Pisces)
2011,Games,Jose Valverde,Detroit,75,03-24-1978  (Aries)
2011,Saves,Jose Valverde,Detroit,49,03-24-1978  (Aries)
2011,Shutouts,Derek Holland,Texas,4,10-09-1986  (Libra)
2011,Strikeouts,Justin Verlander,Detroit,250,02-20-1983  (Pisces)
2011,Winning Percentage,Justin Verlander,Detroit,.828,02-20-1983  (Pisces)
2011,Wins,Justin Verlander,Detroit,24,02-20-1983  (Pisces)
2012,Complete Games,Justin Verlander,Detroit,6,02-20-1983  (Pisces)
2012,ERA,David Price,Tampa Bay,2.56,08-26-1985  (Virgo)
2012,Games,Boone Logan,New York,80,08-13-1984  (Leo)
2012,Saves,Jim Johnson,Baltimore,51,06-27-1983  (Cancer)
2012,Shutouts,Felix Hernandez,Seattle,5,04-08-1986  (Aries)
2012,Strikeouts,Justin Verlander,Detroit,239,02-20-1983  (Pisces)
2012,Winning Percentage,David Price,Tampa Bay,.800,08-26-1985  (Virgo)
2012,Wins,David Price,Tampa Bay,20,08-26-1985  (Virgo)
2013,Complete Games,David Price,Tampa Bay,4,08-26-1985  (Virgo)
2013,ERA,Anibal Sanchez,Detroit,2.57,02-27-1984  (Pisces)
2013,Games,Joel Peralta,Tampa Bay,80,03-23-1976  (Aries)
2013,Saves,Jim Johnson,Baltimore,50,06-27-1983  (Cancer)
2013,Shutouts,Bartolo Colon,Oakland,3,05-24-1973  (Gemini)
2013,Strikeouts,Yu Darvish,Texas,277,08-16-1986  (Leo)
2013,Winning Percentage,Max Scherzer,Detroit,.875,07-27-1984  (Leo)
2013,Wins,Max Scherzer,Detroit,21,07-27-1984  (Leo)
2014,Complete Games,Dallas Keuchel,Houston,5,01-01-1988  (Capricorn)
2014,ERA,Felix Hernandez,Seattle,2.14,04-08-1986  (Aries)
2014,Games,Bryan Shaw,Cleveland,80,11-08-1987  (Scorpio)
2014,Saves,Fernando Rodney,Seattle,48,03-18-1977  (Pisces)
2014,Shutouts,Rick Porcello,Detroit,3,12-27-1988  (Capricorn)
2014,Strikeouts,David Price,Tampa Bay / Detroit,271,08-26-1985  (Virgo)
2014,Winning Percentage,Max Scherzer,Detroit,.783,07-27-1984  (Leo)
2014,Wins,Corey Kluber,Texas,18,04-10-1986  (Aries)
2015,Complete Games,Mark Buehrle,Toronto,4,03-23-1979  (Aries)
2015,ERA,David Price,Detroit / Toronto,2.45,08-26-1985  (Virgo)
2015,Games,Kevin Jepsen,Tampa Bay / Minnesota,75,07-26-1984  (Leo)
2015,Saves,Brad Boxberger,Tampa Bay,41,05-27-1988  (Gemini)
2015,Shutouts,Sonny Gray,Oakland,2,11-07-1989  (Scorpio)
2015,Strikeouts,Chris Sale,Chicago,274,03-30-1989  (Aries)
2015,Winning Percentage,David Price,Detroit / Toronto,.783,08-26-1985  (Virgo)
2015,Wins,Dallas Keuchel,Houston,20,01-01-1988  (Capricorn)
2016,Complete Games,Chris Sale,Chicago,6,03-30-1989  (Aries)
2016,ERA,Aaron Sanchez,Toronto,3.00,07-01-1992  (Cancer)
2016,Games,Bryan Shaw,Cleveland,75,11-08-1987  (Scorpio)
2016,Saves,Zach Britton,Baltimore,47,12-22-1987  (Capricorn)
2016,Shutouts,Corey Kluber,Cleveland,2,04-10-1986  (Aries)
2016,Strikeouts,Justin Verlander,Detroit,254,04-10-1986  (Aries)
2016,Winning Percentage,Aaron Sanchez,Toronto,.882,07-01-1992  (Cancer)
2016,Wins,Rick Porcello,Boston,22,12-27-1988  (Capricorn)
2017,Complete Games,Corey Kluber,Cleveland Indians,5,04-10-1986  (Aries)
2017,Complete Games,Ervin Santana,Minnesota Twins,5,01-10-1983  (Capricorn)
2017,ERA,Corey Kluber,Cleveland Indians,2.25,04-10-1986  (Aries)
2017,Games,Bryan Shaw,Cleveland Indians,79,11-08-1987  (Scorpio)
2017,Saves,Alex Colome,Tampa Bay Rays,46,12-31-1988  (Capricorn)
2017,Shutouts,Corey Kluber,Cleveland Indians,3,04-10-1986  (Aries)
2017,Shutouts,Ervin Santana,Minnesota Twins,3,01-10-1983  (Capricorn)
2017,Strikeouts,Chris Sale,Boston Red Sox,308,03-30-1989  (Aries)
2017,Winning Percentage,Corey Kluber,Cleveland Indians,.818,04-10-1986  (Aries)
2017,Wins,Carlos Carrasco,Cleveland Indians,18,03-21-1987  (Aries)
2017,Wins,Corey Kluber,Cleveland Indians,18,04-10-1986  (Aries)
2017,Wins,Jason Vargas,Kansas City Royals,18,02-02-1983  (Aquarius)
2018,Complete Games,Jose Berrios,Minnesota Twins,2,05-27-1994  (Gemini)
2018,Complete Games,Carlos Carrasco,Cleveland Indians,2,03-21-1987  (Aries)
2018,Complete Games,Corey Kluber,Cleveland Indians,2,04-10-1986  (Aries)
2018,Complete Games,James Paxton,Seattle Mariners,2,11-06-1988  (Scorpio)
2018,ERA,Blake Snell,Tampa Bay Rays,1.89,12-04-1992  (Sagittarius)
2018,Games,Ryan Pressly,Minnesota Twins,77,12-15-1988  (Sagittarius)
2018,Saves,Edwin Diaz,Seattle Mariners,57,03-22-1994  (Aries)
2018,Shutouts,Jose Berrios,Minnesota Twins,1,05-27-1994  (Gemini)
2018,Shutouts,Mike Clevinger,Cleveland Indians,1,12-21-1990  (Sagittarius)
2018,Shutouts,Gerrit Cole,Houston Astros,1,09-08-1990  (Virgo)
2018,Shutouts,Andrew Heaney,Los Angeles Angels,1,06-05-1991  (Gemini)
2018,Shutouts,Corey Kluber,Cleveland Indians,1,04-10-1986  (Aries)
2018,Shutouts,Sean Manaea,Oakland Athletics,1,02-01-1992  (Aquarius)
2018,Shutouts,Daniel Mengden,Oakland Athletics,1,02-19-1993  (Pisces)
2018,Shutouts,James Paxton,Seattle Mariners,1,11-06-1988  (Scorpio)
2018,Shutouts,Luis Severino,New York Yankees,1,02-20-1994  (Pisces)
2018,Shutouts,Masahiro Tanaka,New York Yankees,1,11-01-1988  (Scorpio)
2018,Shutouts,Justin Verlander,Houston Astros,1,02-20-1983  (Pisces)
2018,Strikeouts,Justin Verlander,Houston Astros,290,02-20-1983  (Pisces)
2018,Winning Percentage,Charlie Morton,Houston Astros,.833,11-12-1983  (Scorpio)
2018,Wins,Blake Snell,Tampa Bay Rays,21,12-04-1992  (Sagittarius)
2019,Complete Games,Shane Bieber,Cleveland Indians,3,05-31-1995  (Gemini)
2019,Complete Games,Lucas Giolito,Chicago White Sox,3,07-14-1994  (Cancer)
2019,ERA,Gerrit Cole,Houston Astros,2.50,09-08-1990  (Virgo)
2019,Games,Yusmeiro Petit,Oakland Athletics,80,11-22-1984  (Scorpio)
2019,Saves,Roberto Osuna,Houston Astros,38,02-07-1995  (Aquarius)
2019,Shutouts,Shane Bieber,Cleveland Indians,2,05-31-1995  (Gemini)
2019,Shutouts,Lucas Giolito,Chicago White Sox,2,07-14-1994  (Cancer)
2019,Strikeouts,Gerrit Cole,Houston Astros,326,09-08-1990  (Virgo)
2019,Winning Percentage,Gerrit Cole,Houston Astros,.800,09-08-1990  (Virgo)
2019,Wins,Justin Verlander,Houston Astros,21,02-20-1983  (Pisces)
2020,Complete Games,Gerrit Cole,New York Yankees,2,09-08-1990  (Virgo)
2020,ERA,Shane Bieber,Cleveland Indians,1.63,05-31-1995  (Gemini)
2020,Games,Scott Barlow,Kansas City Royals,32,12-18-1992  (Sagittarius)
2020,Saves,Brad Hand,Cleveland Indians,16,03-20-1990  (Pisces)
2020,Shutouts,Gerrit Cole,New York Yankees,1,09-08-1990  (Virgo)
2020,Shutouts,Kyle Gibson,Texas Rangers,1,10-23-1987  (Scorpio)
2020,Shutouts,Lucas Giolito,Chicago White Sox,1,07-14-1994  (Cancer)
2020,Shutouts,Brad Keller,Kansas City Royals,1,07-27-1995  (Leo)
2020,Shutouts,Mike Minor,Oakland Athletics,1,12-26-1987  (Capricorn)
2020,Strikeouts,Shane Bieber,Cleveland Indians,122,05-31-1995  (Gemini)
2020,Winning Percentage,Shane Bieber,Cleveland Indians,.889,05-31-1995  (Gemini)
2020,Wins,Shane Bieber,Cleveland Indians,8,05-31-1995  (Gemini)
2021,Complete Games,Gerrit Cole,New York Yankees,2,09-08-1990  (Virgo)
2021,Complete Games,Sean Manaea,Oakland Athletics,2,02-01-1992  (Aquarius)
2021,ERA,Robbie Ray,Toronto Blue Jays,2.84,10-01-1991  (Libra)
2021,Games,Bryan Shaw,Cleveland Indians,81,11-08-1987  (Scorpio)
2021,Saves,Liam Hendriks,Chicago White Sox,38,02-10-1989  (Aquarius)
2021,Shutouts,Sean Manaea,Oakland Athletics,2,02-01-1992  (Aquarius)
2021,Strikeouts,Robbie Ray,Toronto Blue Jays,248,10-01-1991  (Libra)
2021,Winning Percentage,"Lance McCullers, Jr.",Houston Astros,.722,10-02-1993  (Libra)
2021,Wins,Gerrit Cole,New York Yankees,16,09-08-1990  (Virgo)
2022,Complete Games,Framber Valdez,Houston Astros,3,11-19-1993  (Scorpio)
2022,ERA,Justin Verlander,Houston Astros,1.75,02-20-1983  (Pisces)
2022,Games,Adam Cimber,Toronto Blue Jays,77,08-15-1990  (Leo)
2022,Games,Emmanuel Clase,Cleveland Guardians,77,03-18-1998  (Pisces)
2022,Saves,Emmanuel Clase,Cleveland Guardians,42,03-18-1998  (Pisces)
2022,Shutouts,Dylan Cease,Chicago White Sox,1,12-28-1995  (Capricorn)
2022,Shutouts,Nestor Cortes,New York Yankees,1,12-10-1994  (Sagittarius)
2022,Shutouts,Reid Detmers,Los Angeles Angels,1,07-08-1999  (Cancer)
2022,Shutouts,Nathan Eovaldi,Boston Red Sox,1,02-13-1990  (Aquarius)
2022,Shutouts,Dean Kremer,Baltimore Orioles,1,01-07-1996  (Capricorn)
2022,Shutouts,Martín Pérez,Texas Rangers,1,04-04-1991  (Aries)
2022,Shutouts,Patrick Sandoval,Los Angeles Angels,1,10-18-1996  (Libra)
2022,Shutouts,Framber Valdez,Houston Astros,1,11-19-1993  (Scorpio)
2022,Shutouts,Michael Wacha,Boston Red Sox,1,07-01-1991  (Cancer)
2022,Strikeouts,Corbin Burnes,Milwaukee Brewers,243,10-22-1994  (Libra)
2022,Winning Percentage,Justin Verlander,Houston Astros,.818,02-20-1983  (Pisces)
2022,Wins,Justin Verlander,Houston Astros,18,02-20-1983  (Pisces)
2023,Complete Games,Jordan Lyles,Kansas City Royals,3,10-19-1990  (Libra)
2023,ERA,Gerrit Cole,New York Yankees,2.63,09-08-1990  (Virgo)
2023,Games,Matt Brash,Seattle Mariners,78,05-12-1998  (Taurus)
2023,Saves,Emmanuel Clase,Cleveland Guardians,44,03-18-1998  (Pisces)
2023,Shutouts,Gerrit Cole,New York Yankees,2,09-08-1990  (Virgo)
2023,Shutouts,Framber Valdez,Houston Astros,2,11-19-1993  (Scorpio)
2023,Strikeouts,Kevin Gausman,Toronto Blue Jays,237,01-06-1991  (Capricorn)
2023,Winning Percentage,Gerrit Cole,New York Yankees,.789,09-08-1990  (Virgo)
2023,Wins,Chris Bassitt,Toronto Blue Jays,16,02-22-1989  (Pisces)
2023,Wins,Zach Eflin,Tampa Bay Rays,16,04-08-1994  (Aries)
2024,Complete Games,Kevin Gausman,Toronto,2,01-06-1991  (Capricorn)
2024,ERA,Tarik Skubal,Detroit,2.39,11-20-1996  (Scorpio)
2024,Games,T.J. McFarland,Oakland,79,06-08-1989  (Gemini)
2024,Saves,Emmanuel Clase,Cleveland,47,03-18-1998  (Pisces)
2024,Shutouts,Ronel Blanco,Houston,1,08-31-1993  (Virgo)
2024,Shutouts,Joey Estes,Oakland,1,10-08-2001  (Libra)
2024,Shutouts,Kevin Gausman,Toronto,1,01-06-1991  (Capricorn)
2024,Shutouts,Tanner Houck,Boston,1,06-29-1996  (Cancer)
2024,Shutouts,Keider Montero,Detroit,1,07-06-2000  (Cancer)
2024,Strikeouts,Tarik Skubal,Detroit,228,11-20-1996  (Scorpio)
2024,Winning Percentage,Tarik Skubal,Detroit,.818,11-20-1996  (Scorpio)
2024,Wins,Tarik Skubal,Detroit,18,11-20-1996  (Scorpio)
